frame,bbox,detect_conf,sex_decfunc,sex_label
77,"(325, 159, 506, 341)",0.9946538,-18.86156275117464,f
77,"(730, 12, 920, 202)",0.97564244,-6.402141475207192,f
77,"(62, 115, 250, 303)",0.92350817,-2.494923755327407,f
77,"(942, -35, 1130, 152)",0.7758912,9.045607761709368,m
78,"(323, 160, 507, 343)",0.9949098,-18.850133774469448,f
78,"(728, 12, 920, 204)",0.9668504,-6.1873965551233425,f
78,"(568, 211, 721, 364)",0.8712785,17.642040349655257,m
78,"(62, 114, 252, 304)",0.8690558,-5.411448454214279,f
78,"(943, -34, 1127, 150)",0.7521919,8.986802670148334,m
79,"(324, 162, 508, 345)",0.99541783,-17.971711924291338,f
79,"(561, 209, 729, 377)",0.96277624,18.579236850693768,m
79,"(728, 12, 921, 205)",0.9595969,-5.961759066015178,f
79,"(62, 114, 252, 304)",0.8544942,-4.513807437088732,f
79,"(943, -34, 1126, 149)",0.79370517,10.01714346974963,m
80,"(326, 163, 508, 345)",0.99649835,-19.151437947508228,f
80,"(558, 207, 730, 378)",0.9757185,21.33194087004686,m
80,"(729, 13, 922, 206)",0.94907314,-6.558362274227745,f
80,"(59, 112, 249, 302)",0.8547492,-4.458746662632419,f
80,"(944, -33, 1126, 149)",0.77929586,11.169193203360399,m
81,"(325, 162, 508, 346)",0.99677485,-18.13835565695484,f
81,"(557, 204, 733, 380)",0.9754861,24.93716593469206,m
81,"(731, 14, 922, 205)",0.9500464,-6.738475518721472,f
81,"(59, 112, 249, 302)",0.86432326,-4.143394300680363,f
81,"(944, -34, 1127, 149)",0.7470366,11.121600630399941,m
82,"(325, 162, 508, 345)",0.9967945,-17.30199275177006,f
82,"(558, 204, 735, 381)",0.97832024,23.338345070430474,m
82,"(732, 14, 922, 204)",0.95249593,-6.51461204527429,f
82,"(61, 112, 251, 301)",0.8797492,-5.736469000390002,f
82,"(943, -35, 1128, 150)",0.74984604,10.357939540445146,m
83,"(325, 161, 507, 342)",0.99584144,-19.627743468156474,f
83,"(560, 204, 736, 379)",0.9765609,22.219701552435,m
83,"(733, 14, 924, 205)",0.9159726,-8.137629821297928,f
83,"(59, 110, 251, 302)",0.8711931,-5.169263751816304,f
83,"(943, -35, 1128, 150)",0.7303448,10.518164279754926,m
84,"(326, 160, 507, 341)",0.9950854,-18.755454381269608,f
84,"(561, 201, 739, 379)",0.9604847,20.268435033425362,m
84,"(733, 13, 924, 204)",0.89390117,-7.3870964592015795,f
84,"(55, 106, 253, 303)",0.8490338,-5.766311956823262,f
84,"(943, -35, 1128, 150)",0.7377291,11.631012064315026,m
85,"(328, 159, 508, 338)",0.99446493,-20.106589175851003,f
85,"(563, 200, 740, 377)",0.93962485,20.21611146660501,m
85,"(730, 10, 929, 209)",0.8943129,-7.174071170030878,f
85,"(52, 100, 257, 304)",0.8113505,-11.079660106825623,f
85,"(942, -36, 1128, 150)",0.74931693,10.259208266297017,m
86,"(328, 157, 506, 336)",0.9939421,-18.94344071571857,f
86,"(558, 197, 739, 378)",0.93703026,19.131884542259414,m
86,"(53, 102, 256, 304)",0.9185371,-7.394529216353622,f
86,"(733, 11, 925, 203)",0.9064518,-7.604253203831208,f
86,"(941, -36, 1128, 151)",0.7271376,11.322898010257047,m
87,"(325, 155, 504, 334)",0.9945479,-18.319653652392496,f
87,"(733, 10, 925, 201)",0.9504503,-8.039425400205127,f
87,"(560, 198, 740, 378)",0.9442238,18.97215991833905,m
87,"(50, 102, 255, 307)",0.8942022,-7.1738790474839425,f
87,"(939, -37, 1130, 154)",0.72176915,11.250702436626367,m
88,"(324, 154, 502, 332)",0.9911137,-17.992552321434424,f
88,"(571, 202, 735, 365)",0.958156,19.311031193066153,m
88,"(734, 8, 927, 202)",0.95430475,-8.253708504849337,f
88,"(46, 100, 253, 307)",0.9023303,-9.122306383489208,f
88,"(941, -36, 1131, 155)",0.7859615,10.892734588630383,m
89,"(323, 151, 499, 328)",0.99501157,-19.213978852444342,f
89,"(733, 4, 930, 202)",0.92546046,-9.131473130156047,f
89,"(50, 102, 252, 305)",0.9215488,-10.004681376026069,f
89,"(582, 205, 724, 347)",0.90549326,12.516638488837208,m
89,"(939, -37, 1133, 158)",0.7683585,12.988262838607971,m
90,"(324, 151, 494, 322)",0.9973375,-20.885199333389657,f
90,"(734, 5, 926, 197)",0.95063275,-7.705701296408703,f
90,"(51, 102, 253, 304)",0.8835966,-11.100712956008099,f
90,"(938, -37, 1132, 157)",0.76455027,12.497660327244843,m
91,"(326, 149, 492, 315)",0.9976412,-23.35696336023306,f
91,"(737, 7, 920, 191)",0.91315114,-6.162123841374319,f
91,"(44, 101, 258, 314)",0.8157631,-13.251399798393178,f
91,"(939, -38, 1131, 154)",0.8001963,11.810668305817684,m
92,"(331, 146, 492, 308)",0.99727863,-16.843976737789617,f
92,"(733, 0, 922, 189)",0.90879935,-5.016168862707944,f
92,"(42, 102, 255, 315)",0.842835,-11.8948426348682,f
92,"(938, -38, 1129, 153)",0.7618443,12.042550433173503,m
93,"(731, -4, 921, 186)",0.9082357,-5.463817993702048,f
93,"(47, 107, 251, 311)",0.8637871,-11.411650965385126,f
93,"(321, 141, 489, 310)",0.8141581,-7.098871192264199,f
93,"(941, -36, 1128, 151)",0.68604773,13.470646448275625,m
94,"(730, -4, 918, 184)",0.9057849,-5.243976603088241,f
94,"(50, 111, 249, 309)",0.89816445,-12.511798395924213,f
94,"(944, -36, 1129, 148)",0.7698886,12.076796053966808,m
95,"(730, -5, 915, 180)",0.9588751,-4.56942556733702,f
95,"(52, 110, 247, 305)",0.9200853,-9.302389175534975,f
95,"(945, -37, 1132, 150)",0.8236877,13.451811923143506,m
96,"(734, -2, 908, 172)",0.940981,-1.098099980432297,f
96,"(58, 113, 240, 295)",0.9108151,-8.44389055667655,f
96,"(945, -35, 1133, 152)",0.82046694,10.822731160475296,m
97,"(61, 116, 239, 293)",0.9109974,-7.62954146667529,f
97,"(731, -5, 909, 172)",0.9033442,-1.009328383474918,f
97,"(943, -37, 1132, 151)",0.7970925,13.775774683647883,m
98,"(60, 115, 242, 298)",0.913794,-7.864727752262413,f
98,"(732, -5, 906, 169)",0.82852423,0.514769499293347,m
98,"(941, -38, 1131, 152)",0.776093,12.004688577739616,m
99,"(54, 112, 250, 308)",0.8631532,-10.148246154819168,f
99,"(942, -38, 1132, 152)",0.8059271,12.596969432300433,m
99,"(730, -5, 908, 174)",0.7704614,1.013362024666439,m
100,"(730, -2, 909, 177)",0.80551916,0.6817402064545549,m
100,"(942, -37, 1132, 152)",0.790584,12.909790415612106,m
100,"(53, 112, 250, 309)",0.7649084,-7.099966611494002,f
101,"(732, 0, 906, 175)",0.8820107,-2.6146752380057143,f
101,"(942, -36, 1132, 154)",0.758863,11.947879081610814,m
101,"(52, 111, 250, 309)",0.68240654,-10.501473309382009,f
102,"(727, 1, 910, 183)",0.9016217,-6.288090054190361,f
102,"(50, 103, 251, 303)",0.7903823,-8.600688512642412,f
102,"(942, -37, 1133, 154)",0.7470517,13.218178386453484,m
