frame,bb,face_id,face_detect_conf,tracking_conf,sex_label,sex_decision_function,avg_sex_decision_function,avg_sex_label
66,"(945, -7, 1127, 174)",1,,26.081,m,9.542,11.401,m
66,"(734, 3, 926, 196)",2,,25.819,f,-8.634,-6.520,f
66,"(330, 165, 482, 317)",5,,21.202,f,-19.965,-15.096,f
67,"(61, 114, 272, 325)",0,,21.289,f,-11.899,-9.679,f
67,"(945, -8, 1127, 174)",1,,25.742,m,8.863,11.401,m
67,"(734, 3, 926, 195)",2,,25.653,f,-8.734,-6.520,f
67,"(330, 164, 482, 316)",5,,16.407,f,-14.118,-15.096,f
68,"(56, 114, 266, 324)",0,,20.857,f,-11.024,-9.679,f
68,"(945, -8, 1127, 173)",1,,26.544,m,8.641,11.401,m
68,"(734, 2, 926, 194)",2,,25.513,f,-8.942,-6.520,f
68,"(330, 161, 488, 319)",5,,11.666,f,-10.572,-15.096,f
69,"(62, 115, 274, 326)",0,,19.613,f,-11.812,-9.679,f
69,"(945, -8, 1127, 173)",1,,26.228,m,9.299,11.401,m
69,"(734, 0, 931, 196)",2,,20.050,f,-6.906,-6.520,f
69,"(330, 162, 484, 317)",5,,13.432,f,-9.603,-15.096,f
70,"(58, 109, 277, 328)",0,0.998,20.564,f,-10.317,-9.679,f
70,"(945, -7, 1123, 170)",1,0.933,23.731,m,9.307,11.401,m
70,"(733, 1, 924, 192)",2,0.926,26.880,f,-8.112,-6.520,f
71,"(61, 109, 284, 331)",0,,24.092,f,-12.202,-9.679,f
71,"(949, -7, 1127, 170)",1,,21.215,m,9.343,11.401,m
71,"(735, 0, 929, 194)",2,,21.293,f,-7.835,-6.520,f
72,"(61, 110, 280, 328)",0,,27.015,f,-11.089,-9.679,f
72,"(947, -8, 1124, 168)",1,,26.415,m,10.461,11.401,m
72,"(734, 1, 921, 188)",2,,23.796,f,-6.421,-6.520,f
73,"(64, 108, 287, 330)",0,,22.396,f,-12.066,-9.679,f
73,"(947, -8, 1124, 167)",1,,24.931,m,10.189,11.401,m
73,"(733, 2, 924, 193)",2,,26.098,f,-8.123,-6.520,f
74,"(63, 109, 281, 327)",0,,25.588,f,-11.751,-9.679,f
74,"(947, -9, 1124, 167)",1,,24.083,m,10.874,11.401,m
